t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,futureOI_sma_meandev,futureOI_upper,futureOI_lower,longperm_sma_meandev,longperm_upper,longperm_lower,perpCVD_sma_meandev,perpCVD_upper,perpCVD_lower
2021-06-21,31586.754526998815,-0.0001323870445522,6291776178.057855,11221770727.216228,152247016.03034154,156353787.5306376,12471692061.26291,,,-387737.75367865566,,,-4676582.518437422,,
2021-06-22,32477.42113099032,-0.0002455977250392,6366721619.344648,11140579991.725267,162491688.50436604,170251962.26238555,12189802519.38469,,,-654785.1051971813,,,-5780000.299656674,,
2021-06-23,33652.92415463683,-0.000166496014615,6440423861.5334425,11277398398.140564,113955652.38760512,114700915.7671568,11953692567.640516,,,-800124.1909356155,,,-4972275.217347577,,
2021-06-24,34629.99104463987,-0.0001306439623737,6683572682.396615,11502408287.415815,100543587.27819072,104545360.4005122,11748821676.353687,,,-877541.7339277037,,,-4895694.624670307,,
2021-06-25,31670.672544371268,-0.0001741972766565,6387293861.570358,10584747055.515558,104276565.4036378,110296538.38434298,11496997335.056566,,,-963273.9664631741,,,-4462334.880338947,,
2021-06-26,31982.57003176423,-0.0002705871304158,6330610154.30089,10624055610.744589,98072559.27458777,110071037.08032914,11231363198.979275,,,-1168388.0923785977,,,-5609471.710488315,,
2021-06-27,34607.288973134804,-0.0002072471568543,6743163461.8667,11206472022.4563,104127300.68614136,83222058.63544342,11079633156.173475,,,-1223601.0870404206,,,-1961041.499419621,,
2021-06-28,34408.64609236688,5.63240001334e-05,6589546334.447378,10916672446.54718,79176428.37510197,86809476.37596345,11036047687.506468,,,-1051586.9067807812,,,-2464795.2852146816,,
2021-06-29,35900.15433447891,-4.6568420347e-05,7260325536.911066,11733483056.891068,76530435.2180601,72985500.89153692,11120748125.387297,,,-876508.2704650663,,,-849765.5588514401,,
2021-06-30,35024.606828788485,-4.58790552344e-05,6881832772.121599,11304844174.2273,27454183.59385041,23429233.99737937,11124668950.542545,,,-768426.4248206954,,,-168306.5622767657,,
2021-07-01,33568.58643061468,-9.71111287473e-05,6778830278.669319,11152898416.09162,69589331.83066806,79589523.66433527,11074738968.924803,,,-737730.9165217011,,,-1025223.5210404396,,
2021-07-02,33933.60148407786,-7.41742162887e-05,6924953794.329049,11300447973.88345,77130546.71910422,77481719.5247549,11176981957.263073,,,-652160.0343273412,,,-215394.9246040817,,
2021-07-03,34674.53246619413,-2.2265892434e-05,7093618456.819481,11478535980.73728,46389255.92686869,43210955.044363834,11299050581.547743,,,-430012.05005505215,,,1952716.316573951,,
