t,price_usd_close,marketcap_realized_usd,lth_sum,sth_sum,rhodl_ratio,rcap_sma_zscore,rcap_upper,rcap_lower,sthlth_sma_meandev,sthlth_upper,sthlth_lower,rhodl_sma_maxmin,rhodl_upper,rhodl_lower
2024-02-28,62547.6812033348,473830010601.9543,870525694044.876,168281708995.686,4409.696379511465,4.705624095337593,3.9470656818826977,0.6513170113550326,0.18858626258530048,0.1791752173838986,0.15216908816047173,7.9855317699413835,7.9855317699413835,7.1770615485112135
2024-02-29,61296.28783919828,476570036536.85376,853350651812.8921,166248717782.32236,4632.281778088136,5.048606826673622,3.9783340881339067,0.677819191223737,0.18994414787452388,0.1793177525174267,0.15221915284265725,8.063961635615016,8.063961635615016,7.183451859912347
2024-03-01,62486.38913275429,479799250052.18634,867070757443.8615,171340245651.16803,4988.02554132017,5.470970019534455,4.015525486559619,0.7032848477800269,0.1912827609974968,0.17947554316604003,0.15227425425884583,8.152372069044528,8.152372069044528,7.188219939421054
2024-03-02,62022.12807711209,480305624676.84753,860567136839.5485,169989200374.77478,5043.652142791698,5.90780851253309,4.059318487141024,0.7271745522076729,0.1926262911985985,0.1796486154479735,0.15233410929927538,8.242755927953791,8.242755927953791,7.223574619528786
2024-03-03,63119.390901245846,480993384500.15295,873601662341.8931,172477282460.7967,5132.541009032221,6.357411144348409,4.110367436754895,0.748945310689592,0.19399622456686405,0.17983723403220586,0.15239927917579532,8.337379418767542,8.337379418767542,7.276421664912129
2024-03-04,68365.42639097848,484376926835.27527,947089047830.8556,188420010374.0221,5520.122898331653,6.883588292555582,4.170557625408611,0.7676223891223675,0.19556461032397393,0.1800435694900759,0.15247098282217156,8.437040067668592,8.437040067668592,7.343497436832462
2024-03-05,63889.51842693471,488562616800.2792,887698740686.5265,180423905296.063,5925.847618049592,7.464793450601353,4.241530004065346,0.782195299402866,0.19755669216329927,0.18027228610104168,0.15254905179112654,8.531376811645512,8.531376811645512,7.391850973057944
2024-03-06,66125.97716824335,496184101553.306,911047049083.1284,187060799566.258,5846.371147383631,8.080577445182824,4.324540142351253,0.7918114926304387,0.19927306728218724,0.1805202788119354,0.15263180642157076,8.57166471352779,8.57166471352779,7.4234631947006
2024-03-07,66996.43550696514,499921289631.8262,920306077109.7148,192407168544.00153,6021.907165769669,8.74601527779792,4.421176271094014,0.7954400998013187,0.2013087685408988,0.18079104201201115,0.15271943637714339,8.609143919635324,8.609143919635324,7.4234631947006
2024-03-08,68350.04413064609,503069364774.2953,937885873926.4968,197685146296.49097,6121.791819507569,9.419557825671305,4.531925671952862,0.7926917001191283,0.20319009045019962,0.18108280329391205,0.15281244154355136,8.638403160532395,8.638403160532395,7.4234631947006
