t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,long_interest,preplongsideinterest_ema_maxmin,prep_long_interest_3ema,futureopeninterest_sma_maxmin,perp_cvd_bias_sum,perp_cvd_sum7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2021-04-23,51027.733327861744,-4.4443183246e-06,10720651556.711796,318963.8029136304,102222090.25160845,91801920.2831808,-47645.98816514575,-1.0,898539.1887320149,-0.13181261261924027,,27780897.9334248,-0.5659063063096201,0.4493198422688294
2021-04-24,50020.15342145914,0.000118519111683,10625367991.16313,322239.579359904,31908023.866332944,19755246.922873016,1259309.1756176364,-0.9710489282073309,1078924.1821748256,-0.14742173016830962,,39916775.16810624,-0.5592353291878203,0.4397974990420468
2021-04-25,49039.86234149808,8.9816404058e-06,10608643740.146055,329095.91045475175,34033350.7571697,23485438.52754643,95283.02326723305,-1.0,587103.6027210293,-0.15238996966159823,,51954794.110413834,-0.5761949848307991,0.45301254385183287
2021-04-26,54006.25201262605,4.10470670169e-05,10228921213.325785,292857.65723875334,58329795.24672311,45036368.45458431,419867.2145539735,-1.0,503485.4086375014,-0.3974787128593469,,70585567.59514242,-0.6987393564296734,0.4969948486794009
2021-04-27,54981.4799948714,6.41746671197e-05,10501979651.898935,293003.866594683,19696491.46292792,23142044.151968285,673961.0482584771,-0.9867400408884318,588723.2284479893,-0.7759088186408339,,58241894.51910332,-0.8813244297646329,0.5592615691154432
2021-04-28,54793.39452980505,7.53264329087e-05,10294328010.324656,289564.4508137024,14743414.151051158,14443741.85092581,775435.0082098712,-0.9722172001424155,682079.1183289303,-1.0,,62470871.835004136,-0.9861086000712078,0.5932938929669684
2021-04-29,53558.66206906318,0.00013412825683,10495437350.785036,301883.96308416454,43948030.17895796,22864498.09758407,1407734.71652927,-0.9157741588808584,1044906.9174291001,-0.9170462351045928,,64351937.62610852,-0.9164101969927256,0.5543816042445875
2021-04-30,57775.27815155285,0.0001468993952732,11232531187.00025,293655.83565942943,41997535.01502875,18002272.070273872,1650052.038757696,-0.8687046797269884,1347479.478093398,-0.9110544939158609,,77927030.60243575,-0.8898795868214247,0.5332705071101893
2021-05-01,57811.517527593925,0.0002856396549008,11160776670.997442,293056.2826803919,22870304.257288706,17101761.43383516,3187960.3967286088,-0.7255481455677139,2267719.9374110033,-0.878963779875752,,71542796.48242937,-0.8022559627217329,0.46657488838952155
2021-05-02,56613.20264847865,0.0002723336470007,11224567990.232023,300833.4680412927,12493519.658443611,11395677.35865236,3056827.5367872044,-0.6641696722232517,2662273.7370991036,-0.8886180637325836,,62092726.55259735,-0.7763938679779177,0.4421806979652765
2021-05-03,57200.29122289164,0.0003339889627566,11362071125.515375,297647.08192273544,42968102.137924686,35124903.5057386,3794806.349977595,-0.5760788683249655,3228540.043538349,-0.8519376199456864,,56642498.39264464,-0.7140082441353259,0.3981010105549774
2021-05-04,53333.53775274298,0.0002159070918969,10901301131.558,312714.3669126124,36480026.91075181,42502640.27686999,2353668.225207073,-0.6441282656742198,2791104.134372711,-0.671275439246066,,54065437.71556683,-0.6577018524601429,0.3946466274868907
2021-05-05,57424.00594813379,0.0003210619385119,10841739454.929228,292486.89275029185,38483778.535764754,33619994.931751765,3480869.886240528,-0.5904768132634086,3135987.0103066196,-0.7479823286678864,,58629549.019454464,-0.6692295709656475,0.38557446217426117
2021-05-06,56485.701296946165,0.0003819090809189,10999937290.09817,300506.5186766698,39051087.09531562,41502835.20854966,4200975.940626928,-0.5076397011591964,3668481.475466774,-0.7217034668298788,,35094268.82484653,-0.6146715839945376,0.34559770173698556
2021-05-07,57369.55799873567,0.0002630999229962,10866927437.876602,294954.5463933603,45254977.39831549,45051323.33725143,2859087.772110627,-0.5705960709697175,3263784.6237887004,-0.8849201804190423,-0.2508367869066248,11302659.941155706,-0.5687843460984615,0.5007364581494904
