t,price_usd_close,volume_sum,active_count,transfers_volume_entity_adjusted_sum,fee_ema_percentile,fee_upper,fee_lower,volume_sma_zscore,volume_upper,volume_lower,address_sma_meandev,address_upper,address_lower
2020-05-18,9729.46527585,1591197.8485192263,964198,2322878714.4088387,1195067.0136015518,915475.5725211023,145183.07733167105,1942318324.6802285,,,886281.2857142857,,
2020-05-19,9723.31137903,1763816.9477314523,890223,2086578189.573924,1337254.4971340268,1024800.3162423337,145183.07733167105,1937123910.8372722,,,876501.8571428572,,
2020-05-20,9522.46761378,1856919.839854236,876740,2277921643.944772,1467170.832814079,1079805.522882214,145183.07733167105,1922378108.592512,,,879639.8571428572,,
2020-05-21,9083.12738671,1863759.5718618329,922394,2089517879.5487096,1566318.0175760172,1107166.877044525,145183.07733167105,1903416433.410844,,,885511.7142857143,,
2020-05-22,9182.63979906,1450089.0069770562,797305,1781744799.385811,1537260.7649262769,1160530.4647161877,145183.07733167105,1851508849.264929,,,871376.4285714285,,
2020-05-23,9212.38362171,994639.2457294724,849483,1171913127.2237196,1401605.3851270757,1273270.1295444127,145183.07733167105,1838960407.7719731,,,867156.1428571428,,
2020-05-24,8792.95744169,670332.0330408406,808246,911976277.9412812,1218787.047105517,1283944.1446211971,145183.07733167105,1806075804.5752938,,,872655.5714285715,,
2020-05-25,8910.14065013,814712.8810008407,822993,1822823995.383329,1117768.505579348,1283944.1446211971,145183.07733167105,1734639416.143078,,,852483.4285714285,,
2020-05-26,8830.00836771,712886.791336763,869806,1775754236.7476382,1016548.0770187017,1283944.1446211971,145183.07733167105,1690235994.3107517,,,849566.7142857143,,
2020-05-27,9178.8408253,706506.4575554644,906216,1702186002.9900796,939037.6721528925,1283944.1446211971,145183.07733167105,1607988045.6029382,,,853777.5714285715,,
2020-05-28,9521.7710264,826375.325282454,866823,2018304500.5160356,910872.0854352829,1283944.1446211971,145183.07733167105,1597814705.7411277,,,845838.8571428572,,
2020-05-29,9440.88143521,889946.9037933763,851432,2064545306.405976,905640.7900248063,1283944.1446211971,145183.07733167105,1638214778.17258,,,853571.2857142857,,
2020-05-30,9696.80790406,651435.9710097155,904549,1321527145.459073,842089.5852710336,1283944.1446211971,145183.07733167105,1659588209.3490589,,,861437.8571428572,,
2020-05-31,9452.45408509,583102.1104163651,793684,1094107875.3253229,777342.7165573664,1283944.1446211971,145183.07733167105,1685607008.9753506,,,859357.5714285715,,
2020-06-01,10170.4099128,764785.3708981543,880913,2258992433.17249,774203.3801425634,1283944.1446211971,145183.07733167105,1747916785.8023736,,,867631.8571428572,,
2020-06-02,9532.18934947,965501.2685491324,896076,3160626486.7061944,822027.8522442058,1283944.1446211971,145183.07733167105,1945755678.6535957,,,871384.7142857143,,
2020-06-03,9646.2557319,786488.6768336233,954694,2071780923.9702296,813143.0583915601,1283944.1446211971,145183.07733167105,1998554953.0793319,,,878310.1428571428,,
2020-06-04,9803.70548499,605998.5637902882,902323,2074795497.076022,761356.9347412421,1283944.1446211971,145183.07733167105,2006625095.4450438,,,883381.5714285715,,
2020-06-05,9667.02313814,545842.2394495696,913734,1890171985.7615025,707478.2609183239,1283944.1446211971,145183.07733167105,1981714621.0672622,,,892281.8571428572,,
2020-06-06,9650.37975164,308001.9046950722,776327,1007738351.4762208,607609.171862511,1283944.1446211971,145183.07733167105,1936887650.4982831,,,873964.4285714285,,
2020-06-07,9759.69521099,253170.62831625104,687125,943904869.4286828,518999.535975946,1283944.1446211971,145183.07733167105,1915430078.2273347,,,858741.7142857143,,
2020-06-08,9770.65850938,405657.0673080377,967877,1949353021.2431488,490663.91880896897,1283944.1446211971,145183.07733167105,1871195876.523143,,,871165.1428571428,,
2020-06-09,9795.64961547,341940.64449292765,928286,2081908338.0037568,453483.10022995865,1283944.1446211971,145183.07733167105,1717093283.8513663,,,875766.5714285715,,
2020-06-10,9870.78990303,375955.6817896295,907694,1906809719.645321,434101.2456198764,1283944.1446211971,145183.07733167105,1693525968.9478078,,,869052.2857142857,,
2020-06-11,9324.47584156,372108.8831594833,1040244,1905836293.1097744,418603.1550047782,1283944.1446211971,145183.07733167105,1669388939.8097725,,,888755.2857142857,,
2020-06-12,9481.74838924,282444.15593513666,918557,1820507341.326353,384563.4052373677,1283944.1446211971,145183.07733167105,1659436847.7476082,,,889444.2857142857,,
2020-06-13,9474.74192302,199274.2797001589,809571,1040953801.7895588,338241.1238530655,1283944.1446211971,145183.07733167105,1664181912.078085,,,894193.4285714285,,
2020-06-14,9386.78789214,153699.62040806678,688457,846507100.4462222,292105.7479918158,1283944.1446211971,145183.07733167105,1650267945.0805907,,,894383.7142857143,,
2020-06-15,9454.15015829,318196.62357969506,866381,2052498538.0125372,298628.4668887856,1283944.1446211971,145183.07733167105,1665003018.904789,,,879884.2857142857,,
2020-06-16,9540.67651404,480700.38340248266,984144,1992422333.570224,344146.44601720985,1283944.1446211971,145183.07733167105,1652219303.9857128,,,887864.0,,
2020-06-17,9483.15268772,452259.6769398953,924725,1951226256.7702968,371174.7537478812,1283944.1446211971,145183.07733167105,1658564523.574995,,,890297.0,,
2020-06-18,9412.43597382,415300.1440029599,848162,1828279127.047733,382206.1013116508,1283944.1446211971,145183.07733167105,1647484928.423275,,,862856.7142857143,,
2020-06-19,9277.04516149,470229.4586631758,952289,2131651571.9091692,404211.94064953213,1283944.1446211971,145183.07733167105,1691934104.2208202,,,867675.5714285715,,
2020-06-20,9335.17939289,279111.40790140623,769116,1078600667.2026508,372936.80746250064,1283944.1446211971,145183.07733167105,1697312227.8512619,,,861896.2857142857,,
2020-06-21,9301.37004446,233702.49684279,713559,848194442.9689913,338128.22980757296,1283944.1446211971,145183.07733167105,1697553276.7830863,,,865482.2857142857,,
2020-06-22,9649.2555242,342529.6609661249,837546,2031668970.583636,339228.58759721095,1283944.1446211971,145183.07733167105,1694577624.2932432,,,861363.0,,
2020-06-23,9628.69403752,441019.7488704157,1035740,2458278755.486321,364676.37791551213,1283944.1446211971,145183.07733167105,1761128541.7098281,,,868733.8571428572,,
2020-06-24,9308.97002161,400131.25729472487,927350,2098263321.5190616,373540.0977603153,1283944.1446211971,145183.07733167105,1782133836.6739376,,,869108.8571428572,,
2020-06-25,9265.12255402,370416.1372643858,890832,2267682236.797202,372759.1076363329,1283944.1446211971,145183.07733167105,1844905709.4952905,,,875204.5714285715,,
2020-06-26,9165.46400925,312960.92511312186,934301,2220033236.8476486,357809.56200553017,1283944.1446211971,145183.07733167105,1857531661.6293585,,,872634.8571428572,,
2020-06-27,9050.08021288,213733.94020458293,773653,1109762905.4783256,321790.6565552933,1283944.1446211971,145183.07733167105,1861983409.9544551,,,873283.0,,
2020-06-28,9155.73195906,179082.78332726212,687102,1057091916.5991924,286113.6882482855,1283944.1446211971,145183.07733167105,1891825906.187341,,,869503.4285714285,,
2020-06-29,9200.43803941,304708.9704695405,942479,1829272862.9988225,290762.5088035992,1283944.1446211971,145183.07733167105,1862912176.5323677,,,884493.8571428572,,
2020-06-30,9138.25078146,393350.11756275233,930947,2275820326.7422814,316409.4109933875,1283944.1446211971,145183.07733167105,1836846686.7117906,,,869523.4285714285,,
2020-07-01,9228.16289438,578391.9636328892,1083560,2131336889.54112,381905.0491532629,1283944.1446211971,145183.07733167105,1841571482.1435132,,,891839.1428571428,,
2020-07-02,9123.41015432,513423.3806283941,959779,2113105029.1426103,414784.6320220458,1283944.1446211971,145183.07733167105,1819489023.9071429,,,901688.7142857143,,
2020-07-03,9087.30391103,489572.37070558686,945290,1817921494.0829856,433481.56669293105,1283944.1446211971,145183.07733167105,1762044489.226477,,,903258.5714285715,,
2020-07-04,9116.09384322,289560.926340039,805239,1013044479.7819488,397501.40660470806,1283944.1446211971,145183.07733167105,1748227571.2698514,2018325502.6850767,1452769608.9817586,907770.8571428572,,
2020-07-05,9075.62293143,227395.46350522805,765083,923727892.6937762,354974.920829838,1283944.1446211971,145183.07733167105,1729175567.854792,2018764574.388124,1457284147.439354,918911.0,,
2020-07-06,9294.80678854,340393.8355703839,993234,1998068992.354812,351329.64951497444,1283944.1446211971,145183.07733167105,1753289300.6199336,2019619732.256699,1459816261.7668762,926161.7142857143,,
2020-07-07,9254.80043974,377556.2393405036,970595,1897809844.4975328,357886.29697135667,1283944.1446211971,145183.07733167105,1699287803.156398,2020169065.3069546,1461514139.3610656,931825.7142857143,,
2020-07-08,9425.36948916,446433.2639646988,1016230,1916371594.5125265,380023.0387196922,1283944.1446211971,145183.07733167105,1668578475.2951703,2020522956.438474,1462531373.0375845,922207.1428571428,,
