t,price_usd_close,investor_capitalization,current,liveliness,realized_profit_lth_account_based,realized_loss_lth_account_based,profit_relative,supplyinprofit_percentile_maxmin,aviv_percentile_maxmin,aviv,lthrealized_plratio_logpercentile_maxmin,lth_realized_pl_ema7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2014-05-03,439.87207680600005,3445632209.9291744,5594173688.988387,0.5101452556257091,250045.36467474035,29721.383980048675,0.5757399019805205,,,0.8282489229000614,,15.319281630016434,,0.04379978535843776
2014-05-04,437.933060358,3444023690.9260826,5575086762.422398,0.5097907841093409,455780.6148155334,32034.859277981283,0.5769492940815033,,,0.8252346984665152,,15.04637254574083,,0.04379978535843776
2014-05-05,433.0,3440753895.966504,5492582736.824557,0.5096497818914102,706275.7719334392,102087.10115421786,0.5710203629758611,,,0.8135698391927104,,13.014370523041196,,0.04379978535843776
2014-05-06,428.0100000000001,3436906523.988011,5451366400.787487,0.5092401524520511,405628.8310671054,467342.510424601,0.56782279981447,,,0.8077189873025168,,9.977764803389505,,0.04379978535843776
2014-05-07,440.92028681400006,3435520794.054027,5647533421.961862,0.5089819107304034,990367.2811943764,82068.99238121869,0.5915386761972525,,,0.8366977015534133,,10.500197736301507,,0.04379978535843776
2014-05-08,439.0813533279999,3434969681.715897,5606668103.523653,0.5086483720313335,851040.292765445,119529.85960665849,0.5823824860862601,,,0.8302322487902475,,9.655122560470044,,0.04379978535843776
2014-05-09,451.468934602,3434798856.4046583,5755750269.854754,0.5082493609862553,458719.70804066095,55258.33572810416,0.618690393567103,,,0.8516820107807517,,9.316683595035643,,0.04379978535843776
2014-05-10,456.543988148,3434585140.824573,5822494856.35318,0.5078309212168527,341560.430619512,50987.29276895438,0.6307980137186765,,,0.8609024978115246,,8.662245811482864,,0.04379978535843776
2014-05-11,439.14571258,3433601135.859318,5590542569.973701,0.5075020552180703,448775.8722566549,47420.82867244916,0.5796699485486347,,,0.826307929134496,,8.86260606865065,,0.04379978535843776
2014-05-12,442.46349,3432148916.479901,5646415884.419552,0.5071393114343897,286201.5779299614,84294.85635014236,0.5904952382192246,,,0.8343226163489522,,7.49576547045184,,0.04379978535843776
2014-05-13,439.107218986,3429984283.640313,5605363837.6849165,0.5067678154188946,218520.57628833124,84570.64626734405,0.5828347648313509,,,0.8281723039374542,,6.2677946195993455,,0.04379978535843776
2014-05-14,445.754518832,3427114523.2735734,5687111253.277742,0.5069038084688526,390015.1385223299,188289.3824375316,0.6034119845988223,,,0.84117946275075,,5.218686022212742,,0.04379978535843776
2014-05-15,446.33672479,3426856699.45865,5701232968.829847,0.506569921074348,385277.76521111466,120584.99372170822,0.598934979499789,,,0.8427761614609804,,4.712782575022351,,0.04379978535843776
2014-05-16,447.269647738,3424741844.192132,5715173452.456188,0.5061560990094928,266969.2243967634,151206.31640922936,0.6023016671426069,,,0.8446680162954645,,3.975985860122073,,0.04379978535843776
2014-05-17,450.0057898,3424253962.3631287,5752081917.652331,0.5057265764271499,289354.72275335406,141542.1259767386,0.6228450056340555,,,0.8495224733668111,,3.4930646681888855,,0.04379978535843776
2014-05-18,446.898,3424236940.6598454,5714176772.255134,0.5053744675416639,1035402.9878986756,95519.8217269516,0.598998324240787,,,0.8433408942667698,,5.329715063953174,,0.04379978535843776
2014-05-19,448.179080492,3422802442.740553,5731580759.823312,0.5050665355026746,483901.1214437072,109924.1960916257,0.6090678343082727,,,0.8457483847650666,,5.097819980832023,,0.04379978535843776
2014-05-20,489.193911936,3425833038.0129013,6263101853.724961,0.5047914105914793,637102.1360603045,386782.05699483736,0.6598921185984866,,,0.9228587570787581,,4.235161580462443,,0.04379978535843776
2014-05-21,493.694430672,3428784489.773545,6321247079.814447,0.5044976574209473,1343790.192555132,201811.62454414307,0.6638627910309792,,,0.9300830522468955,,4.841030240035231,,0.04379978535843776
