t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,Price Momentum,Spot CVD Bias,Spot Volume Momentum,aggregate_indicator_equalweight,aggregate_indicator_PCA
2022-08-21,21541.531833365298,119558189.44088157,6209178688.660297,-0.1549150001200742,0.3169164994415268,0.1917135452818819,0.11790501486777816,0.06855979459115757
2022-08-22,21371.39526322777,-33227116.54719143,8799836678.098167,-0.4072646893972651,0.3457330730144872,0.0854809100989351,0.007983097905385724,-0.04623291210089131
2022-08-23,21526.16649593973,38171889.136557855,8010294373.285601,-0.22742641709410794,0.419081866294702,0.06934227271244864,0.0869992406376809,0.07726991896650848
2022-08-24,21399.62537870256,-25549404.667305775,7173201093.362763,-0.5871643400674444,0.4160477938013145,-0.028262833798089693,-0.06645979335473988,-0.10554333535287153
2022-08-25,21604.064567061592,-12160744.148280269,6479929621.371345,-0.49977100797579443,0.4048841520666244,-0.011278604658039981,-0.035388486855736666,-0.0671410043875984
2022-08-26,20233.205290858477,-150230758.84093505,11453780931.80689,-0.8908948950257163,0.4709192142575891,-0.09953169446087917,-0.17316912507633545,-0.23173303401153533
2022-08-27,20059.369459056717,-24638149.230265833,6033068586.342276,-0.9186677240302608,0.4209066935657495,-0.15896963102882922,-0.21891022049778017,-0.27192075046096764
2022-08-28,19649.719186255137,-39827263.06507335,4989640357.636622,-0.9436912059021256,0.28500354369225755,-0.2003488022609652,-0.28634548815694444,-0.35149800974437373
2022-08-29,20284.900681060197,74074193.3351397,8000753729.414052,-0.6693642759654044,0.3764961220253751,-0.2418766070951791,-0.1782482536784028,-0.1736165507643227
2022-08-30,19790.327948931073,-51132851.30642168,9975380214.351036,-0.6952985412381287,0.3003486735975951,-0.1731560930901298,-0.1893686535768878,-0.22045832777475938
2022-08-31,20044.007643010933,133599765.97647326,9930288662.661268,-0.5359475897879113,0.43605035308076756,-0.08533871152308037,-0.061745316076741386,-0.07286799885802842
2022-09-01,20114.411403902308,-80791507.76830822,8563507557.246579,-0.4971474660543802,0.37753097877440545,-0.020954433286746066,-0.046856973522240275,-0.07943106533825517
2022-09-02,19945.951742263733,-37005585.36237274,8527375999.42874,-0.06596185926038123,0.47407465624794565,-0.1548738342021121,0.08441298759515077,0.17464148009213876
2022-09-03,19815.049541111643,-93117947.14575586,4649322236.804644,-0.23000328168622852,0.41568400582727727,-0.21591938332210947,-0.010079553060353574,0.06310948806790395
2022-09-04,19978.806659898455,1006926.2497425312,4887261130.1556,-0.3330037726524758,0.4505020827794797,-0.217346338498134,-0.03328267612371005,0.029037511535366267
