t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,pricemomentum_sma_maxmin,pricemomentum_upper,pricemomentum_lower,spotcvd_sma_maxmin,spotcvd_upper,spotcvd_lower,spotvolume_sma_maxmin,spotvolume_upper,spotvolume_lower
2021-03-02,48401.73297852487,43302774.25112583,8075108858.677761,50.84877813281312,94.0750709789938,32.734538434236654,-67742688.19101207,310538403.5748435,-304584711.12777144,10336141422.322842,14591709002.517248,2717486581.601421
2021-03-03,50698.56833524798,247280649.7862845,9972730472.454472,48.12992794418845,94.0750709789938,32.734538434236654,-46768526.017235495,310538403.5748435,-304584711.12777144,10025810674.997843,14591709002.517248,2717486581.601421
2021-03-04,48515.77021377724,-97633050.75631914,10310319553.25843,46.25190613747205,94.0750709789938,32.734538434236654,-31050841.153689932,310538403.5748435,-304584711.12777144,9928101335.591246,14591709002.517248,2717486581.601421
2021-03-05,48915.78959456871,-11396660.879846174,9497225028.341808,41.202279611324386,94.0750709789938,32.734538434236654,21678058.246806223,310538403.5748435,-304584711.12777144,9317535296.677874,14591709002.517248,2717486581.601421
2021-03-06,48905.87987030982,-139395789.14696535,5349755667.609555,37.02739872079722,94.0750709789938,32.734538434236654,27208205.132074445,310538403.5748435,-304584711.12777144,9040919187.823866,14591709002.517248,2717486581.601421
2021-03-07,51282.11369865597,28653185.794933744,6811660842.844645,37.763808877654625,94.0750709789938,32.734538434236654,62705194.61664819,310538403.5748435,-304584711.12777144,8629645188.870811,14591709002.517248,2717486581.601421
2021-03-08,52307.86071318317,96735231.4229537,8471990977.852996,42.72082548559004,94.0750709789938,32.734538434236654,23935191.496023864,310538403.5748435,-304584711.12777144,8355541628.719954,14591709002.517248,2729423548.5239778
2021-03-09,54696.82182220556,75506949.54844324,9574231301.976929,55.095604744680685,94.0750709789938,32.734538434236654,28535787.96706921,310538403.5748435,-304584711.12777144,8569701977.762691,14591709002.517248,2729423548.5239778
2021-03-10,56128.767227455,116890886.91913164,11884638930.012337,63.9338894488934,94.0750709789938,32.734538434236654,9908678.98604737,310538403.5748435,-304584711.12777144,8842831757.413815,14591709002.517248,2738703965.211132
2021-03-11,57800.36671419076,91949446.61595067,11135800551.934486,69.1102934660837,94.0750709789938,32.734538434236654,36991892.896371625,310538403.5748435,-304584711.12777144,8960757614.367537,14591709002.517248,2791270677.07076
